,RAW_DATA,Time
401,1147266.00,1666715997.9791727
402,1147211.00,1666715997.9912925
403,1147148.00,1666715998.0043619
404,1147084.00,1666715998.0169258
405,1145880.00,1666715998.0287383
406,1145845.00,1666715998.0413966
407,1145827.00,1666715998.053453
408,1145810.00,1666715998.0664673
409,1145781.00,1666715998.079432
410,1145765.00,1666715998.091572
411,1145743.00,1666715998.103594
412,1145733.00,1666715998.1168013
413,1145126.00,1666715998.128965
414,1145099.00,1666715998.141831
415,1145108.00,1666715998.153617
416,1145088.00,1666715998.1667721
417,1145062.00,1666715998.1785607
418,1145050.00,1666715998.1916099
419,1145046.00,1666715998.2043293
420,1145033.00,1666715998.216495
421,1145449.00,1666715998.228507
422,1145502.00,1666715998.2417867
423,1145525.00,1666715998.2543452
424,1145541.00,1666715998.2666137
425,1145553.00,1666715998.2786646
426,1145573.00,1666715998.291855
427,1145605.00,1666715998.303789
428,1145615.00,1666715998.3167574
429,1146136.00,1666715998.3287175
430,1146152.00,1666715998.3416848
431,1146181.00,1666715998.35365
432,1146206.00,1666715998.36664
433,1146223.00,1666715998.3785832
434,1146219.00,1666715998.3915713
435,1146259.00,1666715998.4043329
436,1146292.00,1666715998.4163435
437,1146302.00,1666715998.4286883
438,1146890.00,1666715998.4418864
439,1146886.00,1666715998.4537957
440,1146904.00,1666715998.4668608
441,1146897.00,1666715998.4790947
442,1146937.00,1666715998.491083
443,1146934.00,1666715998.5040483
444,1146914.00,1666715998.515998
445,1146936.00,1666715998.5290775
446,1147214.00,1666715998.541226
447,1147215.00,1666715998.5536742
448,1147222.00,1666715998.566324
449,1147230.00,1666715998.579274
450,1147219.00,1666715998.5918062
451,1147243.00,1666715998.6035492
452,1147219.00,1666715998.6165655
453,1147397.00,1666715998.6285348
454,1147385.00,1666715998.641711
455,1147411.00,1666715998.6542997
456,1147418.00,1666715998.6669104
457,1147419.00,1666715998.6792982
458,1147239.00,1666715998.6913009
459,1147420.00,1666715998.704351
460,1147444.00,1666715998.7163348
461,1147635.00,1666715998.7294288
462,1147643.00,1666715998.7417014
463,1147632.00,1666715998.7543907
464,1147670.00,1666715998.7669063
465,1147685.00,1666715998.779148
466,1147690.00,1666715998.7917771
467,1147707.00,1666715998.8043594
468,1147718.00,1666715998.8168976
469,1147575.00,1666715998.8292146
470,1147521.00,1666715998.8418834
471,1147445.00,1666715998.8543117
472,1147381.00,1666715998.866354
473,1147311.00,1666715998.878407
474,1147215.00,1666715998.8918858
475,1147167.00,1666715998.9043283
476,1147119.00,1666715998.91649
477,1147044.00,1666715998.9285007
478,1145335.00,1666715998.941919
479,1145271.00,1666715998.9542549
480,1145246.00,1666715998.966023
481,1145207.00,1666715998.979032
482,1145175.00,1666715998.9918523
483,1145141.00,1666715999.004341
484,1145115.00,1666715999.0158684
485,1144198.00,1666715999.0292423
486,1144192.00,1666715999.041318
487,1144196.00,1666715999.0535078
488,1144196.00,1666715999.0668964
489,1144209.00,1666715999.07849
490,1144220.00,1666715999.0914142
491,1144233.00,1666715999.1033819
492,1144245.00,1666715999.116377
493,1144975.00,1666715999.1284635
494,1144982.00,1666715999.1418076
495,1144999.00,1666715999.1543343
496,1145014.00,1666715999.1666634
497,1145030.00,1666715999.178702
498,1145031.00,1666715999.1918263
499,1145040.00,1666715999.204352
500,1145051.00,1666715999.2167754
501,1145211.00,1666715999.228731
502,1145186.00,1666715999.2418833
503,1145228.00,1666715999.2537544
504,1145244.00,1666715999.2667665
505,1145263.00,1666715999.2792938
506,1145282.00,1666715999.291803
507,1145284.00,1666715999.3043067
508,1145305.00,1666715999.31673
509,1145923.00,1666715999.3287191
510,1145956.00,1666715999.3418853
511,1145956.00,1666715999.3534575
512,1145975.00,1666715999.3659086
513,1145995.00,1666715999.3789983
514,1145977.00,1666715999.391866
515,1146014.00,1666715999.404313
516,1146035.00,1666715999.4162571
517,1146041.00,1666715999.4292781
518,1146536.00,1666715999.44179
519,1146537.00,1666715999.4543247
520,1146563.00,1666715999.4663498
521,1146572.00,1666715999.4792805
522,1146589.00,1666715999.4918418
523,1146598.00,1666715999.5035837
524,1146616.00,1666715999.5165107
525,1146593.00,1666715999.5285106
526,1146902.00,1666715999.5417352
527,1146924.00,1666715999.5535104
528,1146918.00,1666715999.5667117
529,1146929.00,1666715999.5786285
530,1146945.00,1666715999.5918572
531,1146958.00,1666715999.6036713
532,1146975.00,1666715999.6165097
533,1147346.00,1666715999.6286004
534,1147356.00,1666715999.641698
535,1147367.00,1666715999.654292
536,1147371.00,1666715999.6667109
537,1147382.00,1666715999.6786783
538,1147369.00,1666715999.6918488
539,1147405.00,1666715999.7036188
540,1147392.00,1666715999.7168343
541,1147680.00,1666715999.7287796
542,1147643.00,1666715999.7418458
543,1147614.00,1666715999.754255
544,1147605.00,1666715999.766783
545,1147563.00,1666715999.7785573
546,1147526.00,1666715999.791758
547,1147481.00,1666715999.8042643
548,1147428.00,1666715999.81599
549,1145443.00,1666715999.8290806
550,1145390.00,1666715999.8418658
551,1145361.00,1666715999.854258
552,1145308.00,1666715999.8665679
553,1145296.00,1666715999.8793416
554,1145254.00,1666715999.8918047
555,1145223.00,1666715999.9042866
556,1145209.00,1666715999.916781
557,1145175.00,1666715999.9288754
558,1144344.00,1666715999.9417496
559,1144353.00,1666715999.9542587
560,1144356.00,1666715999.9666572
561,1144356.00,1666715999.9787564
562,1144374.00,1666715999.9918096
563,1144384.00,1666716000.0040686
564,1144393.00,1666716000.0166748
565,1145201.00,1666716000.0286522
566,1145215.00,1666716000.0416412
567,1145247.00,1666716000.0542662
568,1145270.00,1666716000.0667748
569,1145281.00,1666716000.078726
570,1145302.00,1666716000.091854
571,1145322.00,1666716000.1042855
572,1145332.00,1666716000.11639
573,1145582.00,1666716000.1284268
574,1145610.00,1666716000.1417875
575,1145607.00,1666716000.1537397
576,1145627.00,1666716000.1667783
577,1145651.00,1666716000.178691
578,1145638.00,1666716000.191801
579,1145692.00,1666716000.2035763
580,1145700.00,1666716000.2165408
581,1146769.00,1666716000.22851
582,1146813.00,1666716000.2414951
583,1146845.00,1666716000.2534707
584,1146890.00,1666716000.266667
585,1146926.00,1666716000.2786384
586,1146940.00,1666716000.2911494
587,1146978.00,1666716000.3043098
588,1146989.00,1666716000.3158937
589,1147008.00,1666716000.328883
590,1147412.00,1666716000.3418074
591,1147424.00,1666716000.354287
592,1147449.00,1666716000.3667889
593,1147461.00,1666716000.37827
594,1147479.00,1666716000.3918364
595,1147500.00,1666716000.4044836
596,1147502.00,1666716000.416244
597,1147695.00,1666716000.4287078
598,1147688.00,1666716000.440955
599,1147700.00,1666716000.454218
600,1147705.00,1666716000.4666014
601,1147700.00,1666716000.4785948
602,1147723.00,1666716000.4918165
