,RAW_DATA
0,Sensor initialized
1695,882675.00
1696,882674.00
1697,882685.00
1698,882686.00
1699,882663.00
1700,882681.00
1701,882666.00
1702,882673.00
1703,882686.00
1704,881840.00
1705,881815.00
1706,881793.00
1707,881758.00
1708,881730.00
1709,881715.00
1710,881679.00
1711,881651.00
1712,881649.00
1713,881713.00
1714,881731.00
1715,881743.00
1716,881772.00
1717,881792.00
1718,881812.00
1719,881828.00
1720,881836.00
1721,881869.00
1722,882172.00
1723,882184.00
1724,882180.00
1725,882187.00
1726,882188.00
1727,882193.00
1728,882191.00
1729,882162.00
1730,882182.00
1731,882316.00
1732,882327.00
1733,882330.00
1734,882339.00
1735,882330.00
1736,882341.00
1737,882339.00
1738,882194.00
1739,882347.00
1740,882442.00
1741,882444.00
1742,882459.00
1743,882466.00
1744,882464.00
1745,882465.00
1746,882456.00
1747,882353.00
1748,882480.00
1749,882564.00
1750,882560.00
1751,882560.00
1752,882541.00
1753,882575.00
1754,882559.00
1755,882559.00
1756,882563.00
1757,882574.00
1758,882565.00
1759,882557.00
1760,882539.00
1761,882507.00
1762,882498.00
1763,882475.00
1764,882459.00
1765,882430.00
1766,882405.00
1767,882105.00
1768,882105.00
1769,882117.00
1770,882125.00
1771,882142.00
1772,882156.00
1773,882176.00
1774,882180.00
1775,882186.00
1776,882408.00
1777,882416.00
1778,882410.00
1779,882421.00
1780,882400.00
1781,882419.00
1782,882434.00
1783,882429.00
1784,882468.00
1785,882466.00
1786,882461.00
1787,882456.00
1788,882473.00
1789,882460.00
1790,882472.00
1791,882493.00
1792,882468.00
1793,882531.00
1794,882526.00
1795,882532.00
1796,882536.00
1797,882535.00
1798,882550.00
1799,882557.00
1800,882553.00
1801,882561.00
1802,882645.00
1803,882647.00
1804,882649.00
1805,882654.00
1806,882641.00
1807,882645.00
1808,882656.00
1809,882645.00
1810,882647.00
1811,882691.00
1812,882710.00
1813,882706.00
1814,882702.00
1815,882710.00
1816,882721.00
1817,882712.00
1818,882718.00
1819,882721.00
1820,882274.00
1821,882229.00
1822,882200.00
1823,882165.00
1824,882129.00
1825,882101.00
1826,882070.00
1827,882052.00
1828,882031.00
1829,882120.00
1830,882091.00
1831,882147.00
1832,882150.00
1833,882164.00
1834,882159.00
1835,882188.00
1836,882201.00
1837,882210.00
1838,882524.00
1839,882501.00
1840,882510.00
1841,882509.00
1842,882510.00
1843,882497.00
1844,882510.00
1845,882512.00
1846,882498.00
1847,882487.00
1848,882502.00
1849,882486.00
1850,882496.00
1851,882505.00
1852,882484.00
1853,882505.00
1854,882508.00
1855,882506.00
1856,882558.00
1857,882580.00
1858,882569.00
1859,882576.00
1860,882577.00
1861,882572.00
1862,882587.00
